Year,CPI,SCV,SCV_real,SP500,SP500_real,Gold,Gold_real,10_yr_T,10_yr_T_real,CAPE,SP500_Future10,SCV_Future10,10_yr_T_Future10,Gold_Future10
2024,0.03,0.12,0.09,0.25,0.22,0.26,0.23,-0.02,-0.05,37.92,,,,
2023,0.03,0.16,0.13,0.26,0.23,0.13,0.10,0.04,0.01,31.45,,,,
2022,0.06,-0.09,-0.16,-0.18,-0.24,0.01,-0.06,-0.18,-0.24,28.32,,,,
2021,0.07,0.28,0.21,0.28,0.21,-0.04,-0.11,-0.04,-0.11,38.30,,,,
2020,0.01,0.06,0.04,0.18,0.17,0.24,0.23,0.11,0.10,33.77,,,,
2019,0.02,0.23,0.20,0.31,0.29,0.19,0.17,0.10,0.07,30.33,,,,
2018,0.02,-0.12,-0.14,-0.04,-0.06,-0.01,-0.03,0.00,-0.02,28.29,,,,
2017,0.02,0.12,0.10,0.22,0.20,0.13,0.11,0.03,0.01,32.09,,,,
2016,0.02,0.25,0.23,0.12,0.10,0.08,0.06,0.01,-0.01,27.87,,,,
2015,0.01,-0.05,-0.06,0.01,0.01,-0.12,-0.13,0.01,0.01,25.97,,,,
2014,0.01,0.10,0.10,0.14,0.13,0.00,-0.01,0.11,0.10,26.79,1.24,0.64,-0.24,0.57
2013,0.02,0.36,0.35,0.32,0.31,-0.28,-0.29,-0.09,-0.11,24.86,1.32,0.64,-0.10,0.33
2012,0.02,0.19,0.17,0.16,0.14,0.06,0.04,0.03,0.01,21.24,1.24,0.87,-0.21,-0.06
2011,0.03,-0.04,-0.07,0.02,-0.01,0.12,0.09,0.16,0.13,20.52,1.47,1.19,0.04,0.04
2010,0.02,0.25,0.23,0.15,0.13,0.29,0.28,0.08,0.07,22.40,1.39,0.91,0.29,0.24
2009,0.03,0.30,0.28,0.26,0.23,0.25,0.22,-0.11,-0.14,20.32,1.46,1.10,0.26,0.29
2008,0.00,-0.32,-0.32,-0.37,-0.37,0.04,0.04,0.20,0.20,15.38,0.80,1.18,0.05,0.34
2007,0.04,-0.07,-0.11,0.05,0.01,0.32,0.28,0.10,0.06,25.96,0.88,1.00,0.27,0.41
2006,0.03,0.19,0.17,0.16,0.13,0.23,0.21,0.02,-0.01,27.28,0.81,0.79,0.32,0.59
2005,0.03,0.06,0.03,0.05,0.01,0.18,0.14,0.03,-0.01,26.44,0.73,0.73,0.33,0.73
2004,0.03,0.24,0.20,0.11,0.07,0.05,0.01,0.04,0.01,27.14,0.80,0.81,0.32,1.00
2003,0.02,0.37,0.35,0.28,0.26,0.20,0.18,0.00,-0.02,26.64,0.94,0.92,0.23,1.02
2002,0.02,-0.14,-0.17,-0.22,-0.24,0.26,0.23,0.15,0.13,23.10,0.39,0.92,0.32,1.50
2001,0.02,0.14,0.12,-0.12,-0.13,0.01,-0.01,0.06,0.04,30.50,0.11,0.59,0.44,1.69
2000,0.03,0.22,0.18,-0.09,-0.12,-0.05,-0.09,0.17,0.13,37.27,0.00,0.78,0.35,1.59
1999,0.03,0.03,0.01,0.21,0.18,0.01,-0.02,-0.08,-0.11,44.20,0.04,0.73,0.41,1.22
1998,0.02,-0.03,-0.04,0.28,0.27,-0.01,-0.02,0.15,0.13,38.82,0.08,0.46,0.44,0.98
1997,0.02,0.35,0.34,0.33,0.31,-0.21,-0.23,0.10,0.08,33.03,0.76,0.74,0.37,0.92
1996,0.03,0.21,0.18,0.23,0.19,-0.05,-0.08,0.01,-0.02,27.72,0.94,1.19,0.39,0.41
1995,0.03,0.30,0.28,0.37,0.35,0.01,-0.02,0.23,0.21,25.03,1.16,1.21,0.38,0.12
1994,0.03,0.00,-0.03,0.01,-0.01,-0.02,-0.05,-0.08,-0.11,19.91,1.13,1.46,0.59,-0.04
1993,0.03,0.21,0.18,0.10,0.07,0.18,0.15,0.14,0.11,21.16,1.13,1.23,0.47,-0.10
1992,0.03,0.28,0.25,0.07,0.05,-0.06,-0.09,0.09,0.06,20.45,0.91,1.06,0.60,-0.13
1991,0.03,0.43,0.40,0.30,0.27,-0.09,-0.12,0.15,0.12,18.44,1.42,1.48,0.54,-0.45
1990,0.06,-0.19,-0.25,-0.03,-0.09,-0.03,-0.09,0.06,0.00,15.85,1.46,1.75,0.62,-0.56
1989,0.05,0.19,0.15,0.31,0.27,-0.03,-0.07,0.18,0.13,17.65,1.86,1.32,0.49,-0.56
1988,0.04,0.29,0.25,0.17,0.12,-0.15,-0.20,0.08,0.04,14.70,1.80,1.46,0.73,-0.62
1987,0.04,-0.04,-0.08,0.06,0.01,0.25,0.20,-0.05,-0.09,13.39,1.54,1.74,0.63,-0.79
1986,0.01,0.14,0.13,0.18,0.17,0.19,0.18,0.24,0.23,14.09,1.40,1.33,0.46,-0.36
1985,0.04,0.37,0.34,0.31,0.27,0.06,0.02,0.26,0.22,11.69,1.48,1.28,0.71,-0.10
1984,0.04,0.06,0.02,0.06,0.02,-0.19,-0.23,0.14,0.10,9.60,1.16,1.33,0.72,-0.06
1983,0.04,0.43,0.39,0.22,0.19,-0.17,-0.21,0.03,-0.01,9.82,1.36,1.38,0.92,-0.25
1982,0.04,0.37,0.33,0.20,0.17,0.16,0.12,0.33,0.29,8.47,1.45,1.58,0.80,-0.60
1981,0.09,0.16,0.07,-0.05,-0.14,-0.33,-0.42,0.08,-0.01,7.83,1.27,1.66,1.03,-0.40
1980,0.13,0.26,0.13,0.32,0.19,0.15,0.03,-0.03,-0.16,9.39,1.19,1.33,0.90,-0.70
1979,0.13,0.38,0.25,0.19,0.05,1.27,1.13,0.01,-0.13,8.75,1.33,1.71,0.74,-0.58
1978,0.09,0.19,0.10,0.07,-0.03,0.37,0.28,-0.01,-0.10,9.01,1.04,1.81,0.49,0.63
1977,0.07,0.16,0.09,-0.07,-0.14,0.23,0.16,0.01,-0.05,9.68,0.78,1.67,0.35,1.10
1976,0.05,0.55,0.50,0.24,0.19,-0.04,-0.09,0.16,0.11,11.60,0.96,1.84,0.39,1.06
1975,0.07,0.54,0.47,0.37,0.30,-0.25,-0.32,0.04,-0.03,10.25,1.08,2.21,0.27,0.79
1974,0.12,-0.21,-0.33,-0.26,-0.38,0.66,0.54,0.02,-0.10,8.29,0.43,2.34,0.02,0.46
1973,0.09,-0.24,-0.33,-0.14,-0.23,0.73,0.64,0.04,-0.05,13.49,0.18,1.99,-0.18,1.23
1972,0.03,0.11,0.08,0.19,0.15,0.49,0.45,0.03,-0.01,18.65,0.14,1.28,-0.23,2.07
1971,0.03,0.16,0.13,0.14,0.11,0.17,0.13,0.10,0.07,16.60,0.09,1.02,-0.52,2.41
1970,0.06,-0.19,-0.25,0.04,-0.02,-0.09,-0.15,0.17,0.11,15.87,0.20,1.09,-0.45,2.96
1969,0.06,-0.33,-0.39,-0.08,-0.14,0.05,-0.01,-0.05,-0.11,17.33,-0.13,0.71,-0.18,2.78
1968,0.05,0.61,0.56,0.11,0.06,0.12,0.08,0.03,-0.01,22.28,-0.12,0.07,-0.17,1.64
1967,0.03,1.17,1.14,0.24,0.21,-0.01,-0.04,-0.02,-0.05,21.75,0.11,0.53,-0.09,1.44
1966,0.03,-0.09,-0.13,-0.10,-0.13,0.00,-0.03,0.03,-0.01,19.74,0.11,1.58,-0.08,1.24
1965,0.02,0.46,0.44,0.12,0.10,0.00,-0.02,0.01,-0.01,23.69,0.03,0.95,-0.19,1.30
1964,0.01,0.23,0.22,0.16,0.15,0.00,-0.01,0.04,0.03,22.75,-0.12,0.91,-0.17,1.60
1963,0.02,0.20,0.18,0.23,0.21,0.00,-0.02,0.02,0.00,21.04,0.47,1.47,-0.04,1.05
1962,0.01,-0.10,-0.11,-0.09,-0.10,0.00,-0.01,0.06,0.04,18.59,0.60,1.98,0.01,0.39
1961,0.01,0.30,0.29,0.27,0.26,0.00,-0.01,0.02,0.01,22.04,0.71,1.79,0.06,-0.08
1960,0.01,-0.03,-0.05,0.00,-0.01,0.00,-0.01,0.12,0.10,17.56,0.59,1.95,0.01,-0.22
1959,0.02,0.13,0.11,0.12,0.10,0.00,-0.02,-0.03,-0.04,18.62,0.71,2.15,0.00,-0.08
1958,0.02,0.69,0.68,0.44,0.42,0.00,-0.01,-0.02,-0.04,17.36,1.27,2.65,0.07,-0.09
1957,0.03,-0.15,-0.18,-0.10,-0.13,0.00,-0.03,0.07,0.04,13.67,1.08,2.77,0.04,-0.18
1956,0.03,-0.01,-0.04,0.07,0.04,0.00,-0.03,-0.02,-0.05,17.20,0.92,1.45,0.13,-0.17
1955,0.00,0.27,0.27,0.33,0.32,0.00,0.00,-0.01,-0.02,18.94,1.37,1.54,0.08,-0.17
1954,-0.01,0.64,0.65,0.53,0.53,0.01,0.01,0.03,0.04,15.79,1.80,1.37,0.08,-0.16
1953,0.01,-0.06,-0.07,-0.01,-0.02,0.01,0.00,0.04,0.03,11.75,1.63,1.79,0.09,-0.13
1952,0.01,0.01,0.00,0.18,0.17,0.00,-0.01,0.02,0.02,12.93,1.59,1.55,0.12,-0.11
1951,0.06,0.04,-0.02,0.24,0.18,0.00,-0.06,0.00,-0.06,12.15,1.87,1.66,0.09,-0.11
1950,0.06,0.53,0.47,0.31,0.25,0.10,0.04,0.00,-0.06,11.31,1.86,1.35,0.02,-0.16
1949,-0.02,0.27,0.29,0.18,0.20,-0.09,-0.07,0.05,0.07,10.53,2.07,1.86,-0.14,-0.12
1948,0.03,-0.01,-0.04,0.06,0.03,0.00,-0.03,0.02,-0.01,10.16,2.00,2.05,-0.03,-0.17
1947,0.09,-0.01,-0.10,0.05,-0.04,0.00,-0.09,0.01,-0.08,10.68,1.54,1.33,0.00,-0.18
1946,0.18,-0.15,-0.33,-0.08,-0.27,0.00,-0.18,0.03,-0.15,11.37,1.41,1.42,-0.12,-0.24
1945,0.02,0.91,0.89,0.36,0.34,0.03,0.00,0.04,0.02,15.02,1.70,1.12,-0.22,-0.39
1944,0.02,0.70,0.67,0.19,0.17,0.00,-0.02,0.03,0.00,11.64,1.54,1.74,-0.19,-0.39
1943,0.03,1.38,1.35,0.25,0.22,0.00,-0.03,0.02,0.00,10.74,1.23,1.77,-0.22,-0.42
1942,0.09,0.62,0.53,0.19,0.10,0.00,-0.09,0.02,-0.07,9.62,1.35,3.19,-0.26,-0.45
1941,0.10,-0.06,-0.15,-0.13,-0.23,0.00,-0.10,-0.02,-0.12,10.09,0.95,3.71,-0.34,-0.53
1940,0.01,-0.32,-0.33,-0.11,-0.11,-0.02,-0.02,0.05,0.05,13.91,0.66,3.58,-0.40,-0.57
1939,0.00,-0.06,-0.06,-0.01,-0.01,-0.01,-0.01,0.04,0.04,16.28,0.40,2.78,-0.30,-0.63
1938,-0.03,0.02,0.04,0.29,0.32,0.00,0.03,0.04,0.07,15.76,0.52,2.43,-0.32,-0.57
1937,0.03,-0.53,-0.56,-0.35,-0.38,0.00,-0.03,0.01,-0.01,13.01,0.11,2.51,-0.24,-0.52
1936,0.01,0.93,0.91,0.32,0.30,0.00,-0.01,0.05,0.04,21.13,0.45,2.05,-0.18,-0.46
1935,0.03,0.53,0.50,0.47,0.44,0.00,-0.03,0.04,0.01,16.16,1.15,3.30,0.01,-0.29
1934,0.02,0.20,0.18,-0.01,-0.03,0.32,0.30,0.08,0.06,11.64,0.79,2.91,0.01,-0.32
1933,0.01,1.48,1.48,0.50,0.49,0.27,0.27,0.02,0.01,12.28,1.12,2.42,0.07,0.01
1932,-0.10,0.20,0.31,-0.09,0.02,0.21,0.32,0.09,0.19,8.26,0.91,2.55,0.09,0.30
1931,-0.09,-0.45,-0.35,-0.44,-0.35,-0.17,-0.08,-0.03,0.07,9.31,0.47,2.33,0.34,0.71
1930,-0.06,-0.50,-0.44,-0.25,-0.19,0.00,0.07,0.05,0.11,16.06,0.51,2.13,0.53,0.73
1929,0.01,-0.47,-0.47,-0.08,-0.09,0.00,-0.01,0.04,0.04,22.01,0.53,2.02,0.59,0.81
1928,-0.01,0.60,0.61,0.44,0.45,0.00,0.01,0.01,0.02,25.30,0.99,1.60,0.58,0.82
